,Chart Artist Name,Spotify Artist Name,Chart Song Name,Spotify Song Name,Lev Dist,Predicted URL,Debut Year,Debut Date,Chart Appearances,Sp Artist Genres,Sp Album Genres,Sp Album Type,Sp Album Name
0,Bobby Pinson,Bobby Pinson,Don't Ask Me How I Know,Don't Ask Me How I Know,0.0,https://open.spotify.com/track/3ExcxvkepzqXKkf8tfZlI8,2005,6/11/05,"Country, Hot100",country road || modern country rock || oklahoma country,,album,Man Like Me
0,Don Omar,Don Omar,Reggaeton Latino,Reggaeton Latino,0.0,https://open.spotify.com/track/7zLOI6X1V7zL8sbjQ46zTf,2005,6/11/05,Latin,latin || latin hip hop || puerto rican pop || reggaeton || tropical,,single,Reggaeton Latino - Single
0,Faith Hill,Faith Hill,Mississippi Girl,Mississippi Girl,0.0,https://open.spotify.com/track/79YeQbd1p7MsuT7wHQLRYY,2005,6/11/05,"Country, Hot100",contemporary country || country || country dawn || country road || pop rock,,album,Fireflies (U.S. Release)
0,Los Huracanes del Norte,Los Huracanes del Norte,El Arrepentido,El Arrepentido,0.0,https://open.spotify.com/track/0FHgcAeZcc8DcBpg2EntFx,2005,6/11/05,Latin,banda || cumbia || grupera || norteno || ranchera || regional mexican,,album,"Haciendo Historia, 30 Exitos"
0,Daddy Yankee,Daddy Yankee,Like You,Like You,0.0,https://open.spotify.com/track/3S2wsVP6VihPaMdxrRELmA,2005,6/18/05,"Hot100, Rap",latin || latin hip hop || reggaeton || tropical,,album,Barrio Fino (Bonus Track Version)
0,Monk & Neagle,Monk & Neagle,Secret,Secret,0.0,https://open.spotify.com/track/4iGq8KvKmFZOCQmSiQYEwF,2005,6/18/05,Christian,ccm || christian alternative rock || christian music || worship,,album,Monk & Neagle
0,T.I.,T.I.,ASAP,ASAP,0.0,https://open.spotify.com/track/172Ck9s5X4oHmGAbjdoRmf,2005,6/18/05,"Hot100, RAB, Rap",atl hip hop || dance pop || dirty south rap || gangster rap || hip hop || pop rap || rap || southern hip hop || trap,,album,Urban Legend
0,Reik,Reik,Yo Quisiera,Yo Quisiera,0.0,https://open.spotify.com/track/1neSvFc8QotDXOJtXY7b8M,2005,6/18/05,Latin,latin || latin arena pop || latin pop || mexican pop,,album,Reik
0,Eminem,Eminem,Ass Like That,Ass Like That,0.0,https://open.spotify.com/track/4gXdMZkBN1neE9nX6yRALa,2005,6/18/05,Hot100,detroit hip hop || g funk || hip hop || rap,,album,Encore (Deluxe Version)
0,Blaine Larsen,Blaine Larsen,The Best Man,The Best Man,0.0,https://open.spotify.com/track/67TFWxLDMQiElI6ongsK4V,2005,6/18/05,Country,country || country road || modern country rock,,album,Off To Join The World
